timestamp,speaker,utterance,is_action_item,has_deadline
2024-05-16T09:00:00Z,Alice,Good to see everyone,0,0
2024-05-16T09:05:00Z,Bob,We should review the incidents,1,0
2024-05-16T09:10:00Z,Carlos,Please send a reminder to the team,1,0
2024-05-16T09:12:00Z,Diana,I'll create the dashboard by Friday,1,1
2024-05-16T09:14:00Z,Ethan,Weather is warming up,0,0
2024-05-16T09:16:00Z,Fatima,We need to finish the patch by EOD,1,1
2024-05-16T09:18:00Z,Grace,Please update the release notes,1,0
2024-05-16T09:20:00Z,Henry,I will draft the blog post,1,0
2024-05-16T09:22:00Z,Alice,That's a great idea,0,0
2024-05-16T09:24:00Z,Bob,We should schedule a customer call,1,0
2024-05-16T09:26:00Z,Carlos,Please assign an owner for the bug,1,0
2024-05-16T09:28:00Z,Diana,I'll share the slides today,1,1
2024-05-16T09:30:00Z,Ethan,Let's wrap up,0,0
2024-05-16T09:32:00Z,Fatima,We need to complete the report,1,0
2024-05-16T09:34:00Z,Grace,Please review the budget proposal,1,0
2024-05-16T09:36:00Z,Henry,I'll update the test plan,1,0
2024-05-16T09:38:00Z,Alice,We should plan the next sprint,1,0
2024-05-16T09:40:00Z,Bob,Please send the invite to marketing,1,0
2024-05-16T09:42:00Z,Carlos,The servers are stable,0,0
2024-05-16T09:44:00Z,Diana,I'll finish the post-mortem by tomorrow,1,1
2024-05-16T09:46:00Z,Ethan,Great collaboration today,0,0
2024-05-16T09:48:00Z,Fatima,We need to track the KPI changes,1,0
2024-05-16T09:50:00Z,Grace,Please prepare a quick summary for leadership,1,0
2024-05-16T09:52:00Z,Henry,I'll share a draft tonight,1,1
2024-05-16T09:54:00Z,Alice,Any blockers to call out,0,0
2024-05-16T09:56:00Z,Bob,We should document lessons learned,1,0
2024-05-16T09:58:00Z,Carlos,Please update the README,1,0
2024-05-16T10:00:00Z,Diana,I will send the summary by 3pm,1,1
